"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0003012","muscle system process","47/789","465/18986",0.101075268817204,2.43221172847077,6.51096545671782,1.82541757499951e-08,7.88248498295245e-06,6.51211169339539e-06,"P2RX1/BDKRB2/CHGA/EDN3/PI16/SCNN1B/SLC9A1/PDE5A/P2RY1/SCN4B/GPD1L/SSPN/GSN/PDE9A/P2RX4/PDE4D/GSTM2/TRPM4/NEDD4L/KIT/SRI/MAP2K6/CAV1/ASB2/DES/DSC2/FKBP1B/ANK2/MEIS1/MYH11/EDN2/ATP1A2/SCN7A/ADRA2A/LMOD1/CHRNA3/PPP1R12B/PLN/CRYAB/FBXO32/SLC6A8/KCNMA1/RGS2/CASQ2/CNN1/MYLK/SYNM",47
"BP","GO:0034767","positive regulation of monoatomic ion transmembrane transport","24/789","157/18986",0.152866242038217,3.67847714998426,7.01726777142575,3.36208404217099e-08,1.33082493335935e-05,1.09946046572048e-05,"P2RX1/EDN3/SLC9A1/BDKRB1/PLP1/ANK3/P2RX4/GSTM2/CHP1/SRI/CD19/LRRC26/AKAP5/ATP1B3/CAV1/HSPA2/ANK2/HEPH/FXYD3/MS4A1/AKAP7/KCNMB1/JPH2/MIR210",24
"BP","GO:0055074","calcium ion homeostasis","37/789","329/18986",0.112462006079027,2.7062150157369,6.50061892266085,4.04662188937369e-08,1.47857338265577e-05,1.22152278571539e-05,"SLC25A23/P2RX1/SCGN/PLCD1/TRPA1/EDN3/PLCE1/ATP2A3/BDKRB1/PTK2B/CCL11/P2RY1/PDE4D/CALB2/GSTM2/ATP13A4/SLC35G1/SRI/CD19/BCL2/CAV1/VDR/CCL15/FKBP1B/ANK2/XK/CCL23/EDN2/ATP1A2/FGFR1/PLN/CCL5/CCL13/ATP2C2/CASQ2/S100A14/JPH2",37
"BP","GO:0006874","intracellular calcium ion homeostasis","35/789","304/18986",0.115131578947368,2.77045393903008,6.47968129004525,5.24079110856905e-08,1.77812555469307e-05,1.46899768817635e-05,"SLC25A23/P2RX1/SCGN/PLCD1/TRPA1/EDN3/PLCE1/ATP2A3/BDKRB1/PTK2B/CCL11/P2RY1/PDE4D/CALB2/GSTM2/ATP13A4/SLC35G1/SRI/CD19/BCL2/CAV1/VDR/CCL15/FKBP1B/ANK2/XK/CCL23/EDN2/ATP1A2/PLN/CCL5/CCL13/ATP2C2/CASQ2/JPH2",35
"BP","GO:0006935","chemotaxis","46/789","472/18986",0.0974576271186441,2.34515907284484,6.16223731697779,7.75772334459226e-08,2.45661239245421e-05,2.02952930727298e-05,"LPAR1/PTN/PTGDR2/SEMA6D/CHGA/MMP28/EDN3/CCL28/CXCL14/SEMA6A/SCG2/CTSG/PTK2B/CCL11/CCR10/PADI2/GAB1/P2RX4/SEMA3G/MAPK3/PDGFRA/TRPM4/KIT/BSG/PDGFD/LGALS3/CCL15/SLIT3/NTN1/NBL1/TNFRSF11A/SEMA3B/ENPP2/CCL23/EDN2/MMP2/FGFR1/SEMA4G/F3/F2RL1/CCL5/CCL13/GREM1/S100A14/DUSP1/CXCL13",46
"BP","GO:0042330","taxis","46/789","474/18986",0.0970464135021097,2.33526388688347,6.13018397128118,8.79319456338321e-08,2.61047963600439e-05,2.1566466665982e-05,"LPAR1/PTN/PTGDR2/SEMA6D/CHGA/MMP28/EDN3/CCL28/CXCL14/SEMA6A/SCG2/CTSG/PTK2B/CCL11/CCR10/PADI2/GAB1/P2RX4/SEMA3G/MAPK3/PDGFRA/TRPM4/KIT/BSG/PDGFD/LGALS3/CCL15/SLIT3/NTN1/NBL1/TNFRSF11A/SEMA3B/ENPP2/CCL23/EDN2/MMP2/FGFR1/SEMA4G/F3/F2RL1/CCL5/CCL13/GREM1/S100A14/DUSP1/CXCL13",46
"BP","GO:0090075","relaxation of muscle","11/789","35/18986",0.314285714285714,7.56277385478906,8.09187751681971,9.95644253347338e-08,2.66769282420307e-05,2.20391331825574e-05,"CHGA/PDE5A/P2RY1/GSN/P2RX4/PDE4D/GSTM2/SRI/ATP1A2/PLN/RGS2",11
"BP","GO:0097529","myeloid leukocyte migration","30/789","243/18986",0.123456790123457,2.97078658717864,6.43823888708474,1.01091517548748e-07,2.66769282420307e-05,2.20391331825574e-05,"CD177/CHGA/MMP28/EDN3/SCG2/CTSG/PTGER4/PTK2B/CCL11/KITLG/P2RX4/MAPK3/KIT/BSG/PDGFD/LGALS3/CCL15/MCOLN2/NBL1/TNFRSF11A/CCL23/EDN2/MMP2/GP2/CCL5/CCL13/GREM1/S100A14/DUSP1/CXCL13",30
"BP","GO:0060326","cell chemotaxis","36/789","328/18986",0.109756097560976,2.64110173421126,6.2428627453535,1.14231920900126e-07,2.85579802250316e-05,2.35931634967131e-05,"LPAR1/PTN/CHGA/MMP28/EDN3/CCL28/CXCL14/SCG2/CTSG/PTK2B/CCL11/CCR10/PADI2/GAB1/P2RX4/MAPK3/PDGFRA/TRPM4/KIT/BSG/PDGFD/LGALS3/CCL15/NBL1/TNFRSF11A/CCL23/EDN2/MMP2/FGFR1/F2RL1/CCL5/CCL13/GREM1/S100A14/DUSP1/CXCL13",36
"BP","GO:0055117","regulation of cardiac muscle contraction","16/789","79/18986",0.20253164556962,4.87359419871332,7.18389969742012,1.26415087430659e-07,3.00235832647814e-05,2.48039708390261e-05,"CHGA/SLC9A1/PDE5A/P2RX4/PDE4D/GSTM2/TRPM4/SRI/CAV1/DSC2/FKBP1B/ANK2/ATP1A2/PLN/RGS2/CASQ2",16
"BP","GO:0002685","regulation of leukocyte migration","29/789","236/18986",0.122881355932203,2.95693970054349,6.29907405476669,1.82217548480429e-07,3.62889068371359e-05,2.99800653050066e-05,"PTN/MMP28/EDN3/CCL28/ADTRP/BMP5/MADCAM1/BDKRB1/PTGER4/PTK2B/PADI2/KITLG/SMPD3/P2RX4/MAPK3/APOD/PDGFD/JAM2/LGALS3/NBL1/EDN2/F2RL1/CCL5/GREM1/ST3GAL4/S100A14/DUSP1/LYVE1/CXCL13",29
"BP","GO:0060048","cardiac muscle contraction","22/789","147/18986",0.149659863945578,3.60132088323289,6.59276471196383,1.82878673607973e-07,3.62889068371359e-05,2.99800653050066e-05,"CHGA/SLC9A1/PDE5A/SCN4B/GPD1L/GSN/P2RX4/PDE4D/GSTM2/TRPM4/NEDD4L/SRI/MAP2K6/CAV1/DSC2/FKBP1B/ANK2/ATP1A2/SCN7A/PLN/RGS2/CASQ2",22
"BP","GO:0071772","response to BMP","25/789","184/18986",0.135869565217391,3.26947980382432,6.44135321280944,1.86186760020169e-07,3.62889068371359e-05,2.99800653050066e-05,"ACVRL1/VSTM2A/CHRDL1/PDCD4/BMP5/NEO1/RGMA/FZD1/TMEM100/SMPD3/MAPK3/BMP2/SFRP1/GREM2/BMP6/SFRP2/SOSTDC1/SMAD9/CAV1/NBL1/SPINT1/ITGA3/GREM1/HOXA13/MIR210",25
"BP","GO:0071773","cellular response to BMP stimulus","25/789","184/18986",0.135869565217391,3.26947980382432,6.44135321280944,1.86186760020169e-07,3.62889068371359e-05,2.99800653050066e-05,"ACVRL1/VSTM2A/CHRDL1/PDCD4/BMP5/NEO1/RGMA/FZD1/TMEM100/SMPD3/MAPK3/BMP2/SFRP1/GREM2/BMP6/SFRP2/SOSTDC1/SMAD9/CAV1/NBL1/SPINT1/ITGA3/GREM1/HOXA13/MIR210",25
"BP","GO:0022898","regulation of transmembrane transporter activity","26/789","197/18986",0.131979695431472,3.17587642263869,6.39233329537871,1.90994246511241e-07,3.62889068371359e-05,2.99800653050066e-05,"SLC9A1/SCN4B/ANK3/GSTM2/VAMP2/NEDD4L/CHP1/SLC6A9/SRI/LRRC26/BCL2/ATP1B3/CAV1/OSR1/HSPA2/FKBP1B/ANK2/FHL1/AHNAK/ATP1A2/ADRA2A/PLN/AKAP7/CASQ2/MIR192/JPH2",26
"BP","GO:0055123","digestive system development","22/789","148/18986",0.148648648648649,3.57698763402185,6.5534456309258,2.06546077081617e-07,3.77343794668338e-05,3.11742419174197e-05,"NKX2-3/NPY/TMIGD1/FOXF2/TCF21/PYY/FOXF1/PCSK5/PDGFRA/CLMP/SFRP1/KIT/BCL2/SFRP2/SPDEF/WLS/LGR4/HOXA5/CDKN1A/HOXA13/CDX1/HOXD13",22
"BP","GO:0034308","primary alcohol metabolic process","18/789","103/18986",0.174757281553398,4.20524936321016,6.79186184393414,2.23284384778246e-07,3.88751535109138e-05,3.21166919199306e-05,"SCNN1B/BMP5/NAAA/SULT1B1/GDPD3/DHRS9/AKR1B10/HSD11B2/BMP2/SULT1A2/BMP6/CLCN2/ACSS2/SULT1A4/SULT1A1/RETSAT/AKR1C3/ADH1C",18
