"gene","module","MM","GS","absMM","absGS"
"GDPD2","blue",0.896055600993902,-0.748758473559596,0.896055600993902,0.748758473559596
"FAM211A","blue",0.895963434119742,-0.692796563926178,0.895963434119742,0.692796563926178
"SLC22A5","blue",0.895765776668345,-0.717941525077573,0.895765776668345,0.717941525077573
"LOC100505633","blue",0.89567302621905,-0.681195123006858,0.89567302621905,0.681195123006858
"PLXNA2","blue",0.894781382917023,-0.71406754676948,0.894781382917023,0.71406754676948
"PLCD1","blue",0.894471435014355,-0.756429456541196,0.894471435014355,0.756429456541196
"C6orf136","blue",0.894304576153645,-0.620713289892636,0.894304576153645,0.620713289892636
"LIPH","blue",0.894241841167639,-0.612165475969275,0.894241841167639,0.612165475969275
"CLDN23","blue",0.893911431627803,-0.719023930231099,0.893911431627803,0.719023930231099
"RBM47","blue",0.893212172257597,-0.614521144478469,0.893212172257597,0.614521144478469
"PPP1R36","blue",0.892969622303148,-0.692703527386238,0.892969622303148,0.692703527386238
"ARHGAP44","blue",0.892644411714255,-0.69989437347866,0.892644411714255,0.69989437347866
"SRI","blue",0.892535214366345,-0.656814431321342,0.892535214366345,0.656814431321342
"ZBTB7B","blue",0.892208934364653,-0.678337506637312,0.892208934364653,0.678337506637312
"C4orf19","blue",0.891875821108175,-0.623903383341502,0.891875821108175,0.623903383341502
"KIF13B","blue",0.891743614677761,-0.706797421681204,0.891743614677761,0.706797421681204
"CHP2","blue",0.891407515700311,-0.705303653371921,0.891407515700311,0.705303653371921
"PLA2G10","blue",0.891368994110193,-0.675975681898069,0.891368994110193,0.675975681898069
"NXPE4","blue",0.891306754154957,-0.691871655539638,0.891306754154957,0.691871655539638
"PYY","blue",0.890671538811302,-0.748921557300475,0.890671538811302,0.748921557300475
"GALNT12","blue",0.890670798366639,-0.708775321909734,0.890670798366639,0.708775321909734
"HRCT1","blue",0.890487465520098,-0.714122825024826,0.890487465520098,0.714122825024826
"SLC4A4","blue",0.890207916831756,-0.712836704284812,0.890207916831756,0.712836704284812
"CD177","blue",0.890176655998126,-0.772278486794919,0.890176655998126,0.772278486794919
"PEX26","blue",0.890123394936698,-0.764942528489323,0.890123394936698,0.764942528489323
"ABP1","blue",0.889101898548863,-0.65813492692553,0.889101898548863,0.65813492692553
"AQP8","blue",0.889058414908986,-0.75861702097288,0.889058414908986,0.75861702097288
"SCAMP2","blue",0.888590008730316,-0.70827240481889,0.888590008730316,0.70827240481889
"TSPAN3","blue",0.888492677691724,-0.728118213336142,0.888492677691724,0.728118213336142
"ABCA5","blue",0.888153375686551,-0.667593279293246,0.888153375686551,0.667593279293246
"NHSL1","blue",0.888043502484489,-0.662659766405692,0.888043502484489,0.662659766405692
"C5orf30","blue",0.887601878015281,-0.680040579858584,0.887601878015281,0.680040579858584
"CASP5","blue",0.887458493879767,-0.716052718751095,0.887458493879767,0.716052718751095
"CA7","blue",0.886896369700472,-0.818086389099608,0.886896369700472,0.818086389099608
"PAQR5","blue",0.886822876729083,-0.646249132868495,0.886822876729083,0.646249132868495
"CCDC68","blue",0.886545528523427,-0.707909366319078,0.886545528523427,0.707909366319078
"MTM1","blue",0.885922414549975,-0.657949358130822,0.885922414549975,0.657949358130822
"PRR5L","blue",0.885507928696931,-0.644984061073438,0.885507928696931,0.644984061073438
"SCNN1B","blue",0.885474651277648,-0.756624138401863,0.885474651277648,0.756624138401863
"TMEM61","blue",0.885263578800003,-0.698405225391222,0.885263578800003,0.698405225391222
