"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:0044282","small molecule catabolic process",286,-0.432777273643027,-1.81095351786357,9.50257366862814e-07,3.68471381161668e-05,2.87892180113111e-05,2285,"tags=36%, list=19%, signal=30%","5465/122970/113675/27034/217/56898/5973/9663/1666/1375/51071/25953/1892/9583/8528/5208/60489/1743/5826/11001/875/26275/80724/64174/2166/1962/54677/2524/9615/3030/549/1593/5009/7378/23498/4357/5467/572/6566/1428/2805/5825/1632/348/587/3032/2108/275/4329/2954/445329/57026/5264/83667/130589/1806/37/6342/36/4351/64080/30/3155/3099/5106/1384/137872/55902/3033/8644/5236/34/1374/55268/32/27350/51/3081/10455/1376/978/1576/38/2110/1891/1610/10449/66002/171586/7498/7263/35/6817/27284/2875/197257/5105/6799/84830/2168/57016/406992"
"BP","GO:0019395","fatty acid oxidation",87,-0.582898378737122,-2.06998403465751,1.00478083695105e-06,3.87495914076339e-05,3.02756331133934e-05,2351,"tags=51%, list=20%, signal=41%","51422/5465/56898/1666/1375/1892/114757/5826/11001/80724/1962/54677/3030/549/5467/285440/5825/1632/2329/3032/2108/5264/83667/37/6342/30/1384/3033/34/1374/55268/32/51/10455/1376/38/2110/1891/10449/10891/55198/5166/35/2168"
"BP","GO:0006268","DNA unwinding involved in DNA replication",20,0.791152462638136,2.23285849088083,1.05632832365611e-06,4.051732856575e-05,3.16567924932958e-05,1809,"tags=80%, list=15%, signal=68%","9837/9401/3159/4175/8318/4172/4171/51659/4176/4173/6742/84296/64785/641/5888/5965"
"BP","GO:0031123","RNA 3'-end processing",75,0.561844060715763,2.13189387068357,1.06800478166191e-06,4.07449566165211e-05,3.18346416808902e-05,3455,"tags=56%, list=29%, signal=40%","1736/6227/11340/6741/56915/51692/87178/23404/23016/51010/54512/55656/25896/1477/22916/58490/2091/1479/51095/677/3028/580/7884/25888/26173/4686/11051/55149/26512/1478/57508/29894/170506/26024/90459/64852/11052/5393/5073/23144/53981/79033"
"BP","GO:0035987","endodermal cell differentiation",42,0.655277637532113,2.17100016521035,1.07560374995728e-06,4.08154235812664e-05,3.18896985703629e-05,589,"tags=31%, list=5%, signal=30%","3624/1301/1295/1290/1303/1284/1289/4323/2335/4318/3678/1294/4313"
"BP","GO:0000723","telomere maintenance",141,0.465595184160936,1.93592433454054,1.09129444367988e-06,4.11905604912362e-05,3.21827986274463e-05,2735,"tags=45%, list=23%, signal=35%","4609/3326/9401/1736/908/8607/5591/55226/1017/7203/4751/9156/2237/26354/10575/9212/22948/51750/5111/10576/86/9134/10574/10694/898/6119/1763/3320/10459/55651/545/3178/6950/286053/25913/4683/641/65057/64858/5888/1499/54552/5889/7515/328/79913/79035/54433/3183/10856/7520/3192/55183/3181/197370/3184/5371/10111/10728/54984/5892/55869/170506"
"CC","GO:0031965","nuclear membrane",249,0.386398301141475,1.75073119947005,1.14935097338733e-06,4.3152351889717e-05,3.3715575476642e-05,3169,"tags=43%, list=27%, signal=32%","5653/6581/54498/1717/595/3838/27346/8904/11335/23223/1019/5743/3843/23560/84823/51514/10280/27000/10204/1063/4521/666/26031/10885/64782/23165/51750/5905/169714/9688/598/1844/51246/6804/9631/9805/51649/57122/51230/129401/1003/85450/79050/3249/23236/51096/23225/5987/2023/2010/79188/55787/11270/4001/3930/6049/10430/57647/51131/4599/84629/1192/22927/199953/55627/4928/7514/9330/10434/8089/3837/7108/3601/2597/55183/26173/29843/9972/92140/79902/55746/163183/51634/123920/821/5371/9883/100101267/22929/57508/151188/53371/9538/23636/79073/25909/10682/5903/6836/113878/23175/241/203228/51530/10227/7175/3710"
"BP","GO:0032963","collagen metabolic process",73,0.556288808064909,2.09548418753551,1.19193485842657e-06,4.45156302915523e-05,3.47807252040595e-05,829,"tags=32%, list=7%, signal=29%","4312/4316/1277/4314/4320/3624/2191/1278/5653/9509/1289/3569/871/4323/4321/3673/4318/2149/861/4313/1513/57332/8985"
"BP","GO:0034440","lipid oxidation",91,-0.58213810769388,-2.07709845842382,1.20845657204633e-06,4.48121828896383e-05,3.50124261674071e-05,2351,"tags=49%, list=20%, signal=40%","51422/5465/56898/1666/1375/347/1892/114757/5826/11001/80724/1962/54677/3030/549/5467/285440/5825/1632/2329/3032/2108/5264/83667/37/6342/30/1384/3033/34/1374/55268/32/51/10455/1376/38/2110/1891/10449/10891/55198/5166/35/2168"
"BP","GO:0045930","negative regulation of mitotic cell cycle",198,0.42092903319318,1.85853671312206,1.21250551223373e-06,4.48121828896383e-05,3.50124261674071e-05,2632,"tags=40%, list=22%, signal=32%","3624/9319/8870/983/9088/990/221150/4085/595/83540/5347/891/5591/57405/332/699/655/1017/51514/701/1111/7272/1063/991/2146/9212/672/27085/5933/29980/51512/147841/55159/26271/7465/54475/51360/11200/55143/11130/54962/144455/10403/55055/10459/2177/5925/545/3619/4436/55795/4998/8525/4683/641/9656/1499/220134/677/63967/28984/835/79035/9183/580/146956/9735/2296/8379/90/11073/8883/60561/7756/9184/5371/57099/10111/54984/604"
