"ONTOLOGY","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"BP","GO:2000351","regulation of endothelial cell apoptotic process",42,0.578150653197643,1.78083307272929,0.00304349804748582,0.0324274206380771,0.0266540582916373,431,"tags=14%, list=4%, signal=14%","2266/2243/2244/5054/51129/3383"
"BP","GO:0030183","B cell differentiation",114,-0.43782562507942,-1.58204286865535,0.00304935216139029,0.0324410838639063,0.026665288923323,2213,"tags=32%, list=19%, signal=27%","1880/25/7163/695/1540/51341/2355/4242/3398/3676/3561/2874/578/22806/1316/5336/79840/10758/1015/3574/572/28514/9734/930/596/931/2185/3815/974/23228/939/9452/6422/5450/973/159296/343"
"BP","GO:0032418","lysosome localization",63,-0.522817409610773,-1.72377546579249,0.00308232393643541,0.0326991064251405,0.0268773732720737,3154,"tags=46%, list=26%, signal=34%","26001/8723/5293/7462/7942/201294/6813/3566/9846/201163/27040/83871/8773/695/9842/5864/5294/2205/8673/5880/2647/94121/3965/2624/3815/5730/5729/2294/1113"
"MF","GO:0051082","unfolded protein binding",94,0.460338542866208,1.62653474440738,0.00308528936832333,0.0326991064251405,0.0268773732720737,3026,"tags=54%, list=25%, signal=41%","5203/3329/1191/3326/908/3336/10131/4869/5202/871/3310/81572/7203/10576/10575/8208/5478/3301/10694/10471/10574/22948/134266/3320/9804/6950/55757/811/80273/9093/821/7184/10726/3313/3309/3312/10856/10525/10728/7411/3337/91147/10036/23386/51726/5479/134492/4666/10772/55664/56886"
"BP","GO:0008217","regulation of blood pressure",118,-0.436667334122051,-1.59592138118167,0.00308742972165222,0.0326991064251405,0.0268773732720737,2158,"tags=38%, list=18%, signal=32%","51752/5468/1636/6296/476/143872/64167/3398/6518/4886/55328/6863/7168/27035/1889/1910/9424/10672/59272/2621/490/28514/3043/5742/66002/2150/1907/5023/4843/623/477/5025/1215/5125/2767/6337/4852/94/1359/1511/3291/3816/1908/6338/1113"
"CC","GO:0000502","proteasome complex",60,0.529147340956562,1.76663706880004,0.00310405227343497,0.0327773138873431,0.0269416567153872,4229,"tags=72%, list=35%, signal=46%","5688/11047/10213/5683/5690/5718/5701/5684/5887/23198/5682/5689/7415/56893/5695/5886/5693/80227/5713/5692/51377/5710/5686/10197/9861/9097/29979/5719/5698/5707/9491/5691/5717/5721/5702/5704/5716/5708/9690/5711/5696/5706/5709"
"CC","GO:0005604","basement membrane",70,0.489780482252333,1.67388155422676,0.00310405227343497,0.0327773138873431,0.0269416567153872,1196,"tags=29%, list=10%, signal=26%","7448/7058/7076/2335/7045/1282/80781/340706/1284/6678/283/64093/1289/4017/1295/3918/3371/7837/285613/5176"
"MF","GO:0031210","phosphatidylcholine binding",18,0.718723500689889,1.87591208574513,0.00313686234501052,0.0330454676155175,0.0271620684829974,34,"tags=11%, list=0%, signal=11%","336/341"
"BP","GO:0061564","axon development",318,-0.351593414210005,-1.44515918210208,0.00313876059369487,0.0330454676155175,0.0271620684829974,1858,"tags=25%, list=16%, signal=22%","80208/10509/23607/5592/5048/3676/59277/83999/7474/23242/91624/2896/219699/8650/4753/4504/6387/8543/5802/10090/322/1889/9637/22906/4915/5727/9252/3897/2064/152330/10939/1785/2043/10439/5663/113246/5792/115557/1946/51062/2263/2596/168620/5362/91653/7504/596/57549/2281/7345/56920/2676/2824/1943/9423/57715/23303/4684/4756/4692/1907/6285/10752/288/4313/6586/284656/84189/347/7869/4147/57556/80031/5764/56963/5354/474/9314/8399/1908"
"BP","GO:0070633","transepithelial transport",23,-0.676575901820955,-1.83498294223338,0.00314558058438464,0.0330682071508051,0.0271807594823787,1414,"tags=39%, list=12%, signal=35%","1910/1080/1365/65010/6505/5243/9429/6338/343"
"BP","GO:0071824","protein-DNA complex organization",163,0.394412942934658,1.53289811345273,0.00319645273848037,0.0335532967932791,0.0275794839986293,3692,"tags=39%, list=31%, signal=27%","4609/29028/3159/6662/387103/4171/55355/8318/4869/55839/64946/81620/4673/1063/1058/64425/8208/64105/3146/6418/9787/90390/2491/6599/10910/55723/54069/11339/23234/54107/6749/64754/9735/23421/6874/6873/83743/5889/9349/10036/3148/401541/10541/84246/5925/79172/8520/6597/9014/1062/5888/29079/11198/4678/404672/9282/7157/9442/23270/9733/6880/54108/4676/6602"
"BP","GO:0007339","binding of sperm to zona pellucida",14,0.765373802257645,1.88234053184495,0.00324135138616114,0.0339743418555383,0.0279255664008689,1782,"tags=71%, list=15%, signal=61%","7203/10576/10575/10694/10574/22948/6950/9898/7784/5016"
"BP","GO:0032612","interleukin-1 production",78,0.492359023163638,1.70211757466527,0.00334108527496609,0.0348652075164109,0.0286578227687107,1593,"tags=26%, list=13%, signal=22%","5004/335/5005/6288/54209/6348/8877/8767/2149/1903/11006/3146/3569/84868/64581/9971/64127/2950/3066/24145"
