"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045017","glycerolipid biosynthetic process","32/980","240/18986",0.133333333333333,2.58312925170068,5.75807614468157,8.2864370930579e-07,0.000293990950294419,0.000264854466786385,"CWH43/MOGAT2/ITPKA/PLCE1/PIGZ/ABHD3/SLC44A4/LIPH/LPCAT4/CAPN2/CDS1/IMPA1/PITPNM3/MTM1/PIP5K1B/IMPA2/PLD1/INPP5J/MOGAT3/SLC44A1/DGKQ/DGKA/AVIL/SH3YL1/LPIN3/PGAP3/CLN3/DGAT1/ABHD5/TTC7A/PIGN/BPNT1",32
"GO:0051223","regulation of protein transport","48/980","446/18986",0.10762331838565,2.08503706415302,5.40962117986064,1.22159161823691e-06,0.000386256257504502,0.000347975660549444,"CHGA/CHP2/ADTRP/GCG/KRT20/CWH43/ARHGAP44/FAM3D/UCN3/NOS2/SRI/TMEM30B/ADRA2A/TRPM4/NEO1/ANXA13/ACHE/FKBP1B/GNA11/F2RL1/CHP1/AKAP5/ACVR1C/PRR5L/SFN/CFTR/CPT1A/IFI27/HADH/GIPR/ABCG1/BSG/MCU/SIRT6/PSEN1/PCSK1/BAD/C2CD2L/UBE2J1/PPARG/PPM1A/TCF7L2/CD2AP/GOLPH3L/EXPH5/PFKFB2/CLN3/PRKCD",48
"GO:0032530","regulation of microvillus organization","7/980","13/18986",0.538461538461538,10.4318681318681,7.93617267617991,1.24692633138238e-06,0.000386256257504502,0.000347975660549444,"CDHR5/ATP8B1/PLS1/CDHR2/RAP1GAP/PLD1/KLF5",7
"GO:0051222","positive regulation of protein transport","33/980","257/18986",0.1284046692607,2.487643929167,5.60167588570357,1.32199645209916e-06,0.000386256257504502,0.000347975660549444,"CHP2/GCG/UCN3/SRI/TMEM30B/TRPM4/ANXA13/ACHE/GNA11/F2RL1/CHP1/AKAP5/PRR5L/SFN/CFTR/GIPR/ABCG1/BSG/MCU/SIRT6/PSEN1/PCSK1/BAD/C2CD2L/PPARG/PPM1A/TCF7L2/CD2AP/GOLPH3L/EXPH5/PFKFB2/CLN3/PRKCD",33
"GO:0016485","protein processing","32/980","246/18986",0.130081300813008,2.52012609922018,5.59850527162497,1.43361601589789e-06,0.000393804267891206,0.000354775612263151,"CTSE/CWH43/KLK1/IL1R2/MEP1A/PRKACB/CASP7/PRSS12/CAPN2/TMPRSS2/CASP1/F3/CTSS/GGT1/PLGRKT/AFG3L2/TMEM98/ATG4D/PTCH1/PSEN1/PCSK1/TMPRSS4/BAD/ATG4A/TBC1D10A/PRSS3/CARD16/BAK1/CAST/CLN3/IHH/S100A10",32
"GO:0072659","protein localization to plasma membrane","36/980","295/18986",0.122033898305085,2.36421999308198,5.50920413643976,1.50639844774168e-06,0.000393804267891206,0.000354775612263151,"ARHGAP44/AMN/PLS1/LGALS3/ANXA13/RAB26/TMEM59/AKAP5/ATP2C2/SFN/AGR2/PKP2/ANK3/DPP10/MRAP2/CAMK2D/BSG/SIRT6/ATP1B3/ATP1B1/PTCH1/VAMP8/WNK4/ARHGEF16/GOLPH3L/CLN3/RER1/ZDHHC23/GAK/STX3/TTC7A/LDLRAP1/OPTN/S100A10/TSPAN15/CIB1",36
"GO:0032528","microvillus organization","9/980","24/18986",0.375,7.26505102040816,7.16469780831959,1.62287265321925e-06,0.000403040423427001,0.000363096402570265,"CDHR5/ATP8B1/MYO1A/PLS1/CDHR2/RAP1GAP/ESPN/PLD1/KLF5",9
"GO:1903076","regulation of protein localization to plasma membrane","20/980","117/18986",0.170940170940171,3.31170416884703,5.85140906942453,2.14858949940982e-06,0.000508192573503266,0.000457827266265221,"ARHGAP44/PLS1/LGALS3/ANXA13/TMEM59/AKAP5/SFN/AGR2/DPP10/MRAP2/CAMK2D/SIRT6/VAMP8/WNK4/ARHGEF16/CLN3/RER1/STX3/LDLRAP1/CIB1",20
"GO:0008654","phospholipid biosynthetic process","31/980","243/18986",0.127572016460905,2.47151255563954,5.38588742910203,3.15054299510997e-06,0.000680557159851003,0.000613109361051702,"CWH43/ITPKA/PIGZ/ABHD3/SLC44A4/LIPH/LPCAT4/CAPN2/DHDDS/MBOAT1/CHP1/CDS1/IMPA1/PITPNM3/MTM1/PIP5K1B/IMPA2/PLD1/INPP5J/SLC44A1/DGKQ/DGKA/MBOAT2/SH3YL1/PGAP3/DOLPP1/CLN3/ABHD5/TTC7A/PIGN/BPNT1",31
"GO:0006664","glycolipid metabolic process","19/980","110/18986",0.172727272727273,3.34632653061225,5.75757395698136,3.27080937938321e-06,0.000680557159851003,0.000613109361051702,"CWH43/NEU4/ST3GAL4/PIGZ/FUCA1/B3GALT1/B3GALT4/GAL3ST2/FUT2/UGT8/FA2H/GAL3ST1/GBA2/B4GALT4/PGAP3/FUT6/PRKCD/ST6GALNAC4/PIGN",19
