"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"HNRNPUL2-BSCL2",0.0175470395478809,3.74049348863728,0.191281667118749,0.849018875038099,0.953715780542418,-6.66074349279699,"HNRNPUL2-BSCL2","NS"
"MTIF3",0.0447581750984929,5.14231727556179,0.191096661295345,0.849163101068664,0.953715780542418,-6.66077893372463,"MTIF3","NS"
"C19orf29-AS1",0.0168649292670457,1.90045056416093,0.191060596286784,0.849191217074864,0.953715780542418,-6.66078583858509,"C19orf29-AS1","NS"
"C2orf56",0.013889511692188,2.31298616796792,0.191039585472857,0.849207597036396,0.953715780542418,-6.66078986063046,"C2orf56","NS"
"ARHGAP9",0.0353259446404066,2.30536597854951,0.190956720132616,0.849272199235794,0.953715780542418,-6.66080571902013,"ARHGAP9","NS"
"C10orf12",-0.0158531513936031,0.956091859589467,-0.190928982659454,0.849293823729549,0.953715780542418,-6.66081102575598,"C10orf12","NS"
"DCTPP1",-0.0321451789420513,5.8692675255036,-0.19080572523866,0.84938991822261,0.953743536747102,-6.66083459806547,"DCTPP1","NS"
"COPS6",-0.0199214021953571,5.36859783808986,-0.190633477874858,0.849524210323494,0.953814175140117,-6.66086751396882,"COPS6","NS"
"ZNFX1",-0.0185980362578175,2.97969662400743,-0.19007324658775,0.849961023853653,0.954006732639582,-6.66097436701514,"ZNFX1","NS"
"XRCC3",-0.0253472049629839,2.26603658190987,-0.189993390998257,0.850023291285368,0.954006732639582,-6.66098957231745,"XRCC3","NS"
"C6orf222",-0.0454889132744487,2.56101968251682,-0.189821205681789,0.850157556134309,0.954006732639582,-6.66102233640998,"C6orf222","NS"
"VPS4A",0.0155628612527989,5.24187592715171,0.189807837426233,0.850167980478439,0.954006732639582,-6.66102487893266,"VPS4A","NS"
"OSM",0.0474999787727486,1.16098813568798,0.18969711986098,0.850254317235485,0.954006732639582,-6.66104592955001,"OSM","NS"
"WAPAL",0.0188202078257649,3.4295696783351,0.189693256122837,0.850257330183891,0.954006732639582,-6.66104666393708,"WAPAL","NS"
"SHANK3",0.0324659872061577,1.65450375440895,0.189577186032352,0.850347842850414,0.954006732639582,-6.66106871860584,"SHANK3","NS"
"USP48",-0.0184764823566579,3.42800817826045,-0.189496451645213,0.850410801562512,0.954006732639582,-6.66108405112997,"USP48","NS"
"LOC152217",0.0250004631926695,4.18232445898272,0.189457711738064,0.850441012267633,0.954006732639582,-6.66109140603321,"LOC152217","NS"
"HMGXB3",0.0153651457602764,2.95835703091731,0.189328005516243,0.850542163259863,0.954006732639582,-6.66111602026966,"HMGXB3","NS"
"ZFP41",-0.0215279358218767,1.76099423992355,-0.189169197781091,0.850666012418823,0.954006732639582,-6.66114613415101,"ZFP41","NS"
"APOBEC1",0.0522061148358723,1.44174464261687,0.189123454077395,0.850701687197536,0.954006732639582,-6.66115480360913,"APOBEC1","NS"
"SARS",0.0197294522441931,5.93485610889391,0.189056676423698,0.850753766579469,0.954006732639582,-6.66116745571328,"SARS","NS"
"WHSC1",-0.0296050062325306,3.49112435617052,-0.188978891129802,0.850814431579599,0.954006732639582,-6.66118218776641,"WHSC1","NS"
"LOC146880",-0.0254905638766081,3.05636681523889,-0.188966967988255,0.850823730556155,0.954006732639582,-6.66118444540046,"LOC146880","NS"
"LOC100507217",-0.0205564532229841,4.04519711487937,-0.188948587627562,0.850838065623851,0.954006732639582,-6.66118792542334,"LOC100507217","NS"
"RBM27",-0.017470262369621,2.76988991605474,-0.18823106911956,0.851397706617356,0.954417733438526,-6.66132351171964,"RBM27","NS"
"C2orf42",0.012973249170164,1.66515509801734,0.188051094687242,0.851538092874101,0.954417733438526,-6.66135743987499,"C2orf42","NS"
"TMEM184A",0.0320455582084431,3.06270258900516,0.18802204904883,0.851560749925901,0.954417733438526,-6.66136291242034,"TMEM184A","NS"
"GDA",0.0516272867796466,2.7309881240385,0.188017177284781,0.851564550158042,0.954417733438526,-6.66136383023623,"GDA","NS"
"S100A14",-0.0753925786984171,6.7306304445413,-0.187982476792731,0.851591618469054,0.954417733438526,-6.66137036694766,"S100A14","NS"
"RAF1",0.0158258568333975,4.47111798406547,0.187929188901705,0.851633186333449,0.954417733438526,-6.66138040271778,"RAF1","NS"
