"gene","HR","z","p","lower","upper"
"NEO1",0.818107699257848,-1.49282496408938,0.13548301080929,0.628546435504074,1.06483812456626
"NXPE4",0.921739503992186,-1.49175124732608,0.135764368935968,0.828148185069077,1.02590783695178
"B3GNT7",0.901747604753648,-1.48640297053402,0.137172564572023,0.786792634543455,1.03349816327498
"SEMA6A",0.828010380026222,-1.45276977571905,0.146287686346893,0.641883234439279,1.06810889059921
"LRRFIP2",0.64441043292199,-1.44204169939784,0.149290610326558,0.354637077105612,1.17095710760959
"LRRC1",0.670559393649926,-1.43582524578124,0.151052074161699,0.388612298040772,1.15706554496374
"ARHGAP44",0.787990029652878,-1.42286522633348,0.15477522845165,0.56751900242878,1.0941101252557
"PLAC8",0.905397942828434,-1.41502432220509,0.157061364911549,0.788964529927346,1.03901430771983
"CDC14A",0.648212669613891,-1.41265415979812,0.157757436101424,0.355212345385083,1.1828971332414
"BEST2",0.840756481541708,-1.40334168876769,0.160514972281994,0.659874886390053,1.07122043259055
"B3GALT4",1.26975556280797,1.40312258163099,0.16058028842741,0.909573431987476,1.77256627401577
"CNNM2",1.71197477618725,1.39897699908751,0.161819880558939,0.806061213183164,3.63602364977633
"B3GALT1",0.678317815695863,-1.38714484828216,0.165397598807783,0.391973837034394,1.17384125065989
"CDC42BPG",1.29317300270706,1.38355952135072,0.166493370071607,0.898426913642024,1.86136055091145
"KBTBD11",0.813643562830256,-1.37986938142985,0.167626865464951,0.607036886439425,1.09056939063154
"SIAE",0.810288287263929,-1.37744948721817,0.168373321748379,0.600680291100268,1.09303920605498
"SLC26A2",0.904683747807448,-1.37579451948048,0.168885258698534,0.784371650352339,1.04345010835014
"TMC4",1.23203839576847,1.37399383468654,0.169443596456997,0.914852926042503,1.65919413431185
"ATP8B1",0.794478294482644,-1.37145591145222,0.170232878319649,0.571857846522018,1.10376339896868
"NHEJ1",0.558814100354477,-1.36980040142411,0.170749216733084,0.243023127203203,1.28495259833389
"SEMA6D",0.760063574314254,-1.36959456847487,0.170813496053113,0.513262698941109,1.12553793250743
"PRRG2",0.771767837389438,-1.3632999337676,0.172788002902656,0.531778272091687,1.12006380495004
"ETHE1",0.849928828857559,-1.35014006406249,0.176971059241544,0.671226385101663,1.07620771494817
"NHSL1",0.757558790330476,-1.34600943426023,0.178299474044055,0.505627778505671,1.13501541094728
"NEDD4L",0.671066591502475,-1.33182498474541,0.182917705849101,0.37310180910401,1.20699058338045
"NXPE1",0.893245101215123,-1.33170708669503,0.182956459638114,0.756503254200353,1.05470373909787
"SLC2A13",0.703884967737417,-1.33087338112612,0.18323067728737,0.419680651588907,1.18055013003559
"RIPK3",0.736146494375633,-1.32985229901516,0.18356694051698,0.468698312265653,1.15620570204738
"MYO7B",0.841178844830823,-1.32852328024534,0.184005298020535,0.65174314974375,1.08567592811543
"TCF7L2",0.739846783844725,-1.32348529303226,0.18567404395189,0.473535368856347,1.15592899615369
"AP5M1",0.741838733395968,-1.32189881899399,0.186201845752273,0.476451741898966,1.15504815697207
"EIF2AK3",0.720337458418705,-1.3159484752692,0.188191336960296,0.441927638749615,1.17414257109886
"TMEM59",0.763401475053834,-1.308790402562,0.190605358841901,0.509531564934187,1.14375997920687
"CASP5",0.872756844043241,-1.30485127111036,0.191943496728191,0.711396033781153,1.07071795828797
"PPARGC1B",0.704620181292174,-1.3015338223472,0.193075795189399,0.415903404168373,1.19376180841073
