"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"HMGN1",0.187765595625492,7.04612938925685,1.40339782829091,0.166195151288982,0.238425983629308,-5.87147493132061,"HMGN1","NS"
"LOC100507567",0.215915519526487,1.81488009394194,1.40314309189919,0.166270706817737,0.238508769135652,-5.87182219463553,"LOC100507567","NS"
"PTPRO",0.516758134885814,3.32690692027822,1.40270355516872,0.166401137065168,0.238670244038726,-5.87242124487951,"PTPRO","NS"
"EFNA4",0.289259014961109,3.46101573021987,1.40260259078541,0.166431108887369,0.238687611565206,-5.87255882590076,"EFNA4","NS"
"RHOT1",0.138253668483275,3.21472763839005,1.40193588562517,0.166629128652627,0.238945955897875,-5.87346709324159,"RHOT1","NS"
"DERL2",-0.136400887069963,4.11993293273963,-1.40180970599239,0.166666626058905,0.238974080630871,-5.87363894541458,"DERL2","NS"
"SPAG1",-0.306651376797259,2.95570942413087,-1.40158539641889,0.166733301306191,0.239044031336193,-5.87394441158719,"SPAG1","NS"
"CHM",0.141527115963387,2.51777598601461,1.40143741762397,0.166777298773297,0.239081457591331,-5.87414590516067,"CHM","NS"
"HCCS",-0.153975753463557,3.99509453768609,-1.40128624628093,0.166822254718833,0.239120249683871,-5.87435172541362,"HCCS","NS"
"PTPN6",-0.15917727410674,4.41787746095861,-1.40030348906857,0.167114739315367,0.239513798855726,-5.87568924929194,"PTPN6","NS"
"MPST",-0.28041479056726,6.23146817556597,-1.4001934792727,0.167147504660728,0.239535066202986,-5.87583891737352,"MPST","NS"
"RPUSD2",0.128361642784794,2.46235601363642,1.39996548020447,0.167215427757341,0.239606707312986,-5.87614907479844,"RPUSD2","NS"
"CBR3-AS1",-0.202150538915972,1.60302184220682,-1.39968504771509,0.167299000500007,0.239700755380773,-5.87653049539029,"CBR3-AS1","NS"
"CYBB",0.358207196063519,3.7149305568929,1.39909900342048,0.167473753895838,0.239912378775099,-5.87732735404417,"CYBB","NS"
"CEP63",0.104355694302003,2.86358936805427,1.39906930797461,0.167482612574025,0.239912378775099,-5.87736772340544,"CEP63","NS"
"LPXN",-0.210271774603117,2.99895863834572,-1.39862677643914,0.167614670452006,0.240075809473652,-5.87796922684459,"LPXN","NS"
"FYN",-0.260842570958869,2.83201392981556,-1.39821536946072,0.167737512396278,0.240226006499364,-5.87852826609028,"FYN","NS"
"TENC1",-0.280776073111214,3.00495454150802,-1.39727836263095,0.168017552487137,0.240601279212638,-5.87980094455992,"TENC1","NS"
"LOC643837",-0.140372764971371,1.53059587547289,-1.39710248454459,0.168070156776446,0.240650818136185,-5.88003974047874,"LOC643837","NS"
"MYLIP",-0.218440193549473,3.58009965815468,-1.39518478654161,0.16864455609017,0.241438092863932,-5.88264165322584,"MYLIP","NS"
"YME1L1",0.149567396252116,5.21353465883922,1.39512499613786,0.168662489146505,0.241438092863932,-5.8827227228015,"YME1L1","NS"
"RASSF5",-0.294342857210201,2.61108537821963,-1.39508596960468,0.16867419524658,0.241438092863932,-5.88277563698317,"RASSF5","NS"
"BLCAP",0.196058556752629,5.85536836188778,1.39450993522862,0.16884705099991,0.241659628905398,-5.88355649391975,"BLCAP","NS"
"ZNF506",-0.196866068411915,2.25090154562221,-1.39216953582436,0.169550760711294,0.242640812319194,-5.88672599232957,"ZNF506","NS"
"HIST1H3H",-0.326628763676378,1.82816457979536,-1.39194897037637,0.169617196560738,0.242709892958297,-5.88702443892332,"HIST1H3H","NS"
"TOP3B",-0.119438977710937,2.16964660497833,-1.39159430829623,0.169724065311539,0.242836809154383,-5.88750423912089,"TOP3B","NS"
"PCOLCE2",-0.418393984871571,1.35121271105871,-1.39110746620604,0.169870847763955,0.243020799552674,-5.88816267217355,"PCOLCE2","NS"
"LOC100294145",-0.131170989401014,2.52237139812606,-1.39003388971429,0.170194875737168,0.243450909841531,-5.88961388083444,"LOC100294145","NS"
"FAM91A2",0.22779512818937,1.81808811732147,1.38999066137157,0.170207932924681,0.243450909841531,-5.88967229298048,"FAM91A2","NS"
